original_name,public_name,public_path,pdf_id,public_id,page_count,strategy,pii_block_hits,recurring_header_footer_hits,flags,anchor_found,anchor_text
02319_Revista_Chilena_de_Enfermería_2024.pdf,case_0310.pdf,anonymized_pdfs/case_0310.pdf,310,case_0310,11,cover_swap_first_page,22,20,cover_swapped,,
02320_Revista_Chilena_de_Enfermería_2024.pdf,case_0311.pdf,anonymized_pdfs/case_0311.pdf,311,case_0311,10,cover_swap_first_page,5,9,cover_swapped,,
02325_Revista_Chilena_de_Salud_Públi_2025.pdf,case_0312.pdf,anonymized_pdfs/case_0312.pdf,312,case_0312,14,cover_swap_first_page,78,13,cover_swapped,,
02327_Revista_Chilena_de_Salud_Públi_2025.pdf,case_0313.pdf,anonymized_pdfs/case_0313.pdf,313,case_0313,8,cover_swap_first_page,37,7,cover_swapped,,
02329_Revista_Chilena_de_Salud_Públi_2025.pdf,case_0314.pdf,anonymized_pdfs/case_0314.pdf,314,case_0314,9,cover_swap_first_page,38,8,cover_swapped,,
02345_Revista_Colombiana_de_Gastroen_2025.pdf,case_0315.pdf,anonymized_pdfs/case_0315.pdf,315,case_0315,11,cover_swap_first_page,42,0,cover_swapped,,
02371_Revista_Latinoamericana_de_Bio_2025.pdf,case_0316.pdf,anonymized_pdfs/case_0316.pdf,316,case_0316,12,cover_swap_first_page,37,9,cover_swapped,,
02381_Revista_de_Nutrición_Clínica_y_2026.pdf,case_0317.pdf,anonymized_pdfs/case_0317.pdf,317,case_0317,8,cover_swap_first_page,21,7,cover_swapped,,
02383_Revista_de_Nutrición_Clínica_y_2025.pdf,case_0318.pdf,anonymized_pdfs/case_0318.pdf,318,case_0318,9,cover_swap_first_page,20,8,cover_swapped,,
02385_Revista_de_Nutrición_Clínica_y_2025.pdf,case_0319.pdf,anonymized_pdfs/case_0319.pdf,319,case_0319,6,cover_swap_first_page,6,9,cover_swapped,,
02387_Revista_de_Nutrición_Clínica_y_2024.pdf,case_0320.pdf,anonymized_pdfs/case_0320.pdf,320,case_0320,12,cover_swap_first_page,43,11,cover_swapped,,
02391_Revista_de_la_Facultad_de_Medi_2023.pdf,case_0321.pdf,anonymized_pdfs/case_0321.pdf,321,case_0321,12,cover_swap_first_page,14,11,cover_swapped,,
02393_Revista_de_la_Facultad_de_Medi_2021.pdf,case_0322.pdf,anonymized_pdfs/case_0322.pdf,322,case_0322,7,cover_swap_first_page,8,12,cover_swapped,,
02396_Revista_de_la_Facultad_de_Medi_2021.pdf,case_0323.pdf,anonymized_pdfs/case_0323.pdf,323,case_0323,10,cover_swap_first_page,14,14,cover_swapped,,
02397_Revista_de_la_Facultad_de_Medi_2020.pdf,case_0324.pdf,anonymized_pdfs/case_0324.pdf,324,case_0324,8,cover_swap_first_page,3,0,cover_swapped,,
02411_Actas_Médicas_2026.pdf,case_0325.pdf,anonymized_pdfs/case_0325.pdf,325,case_0325,11,cover_swap_first_page,30,30,cover_swapped,,
02412_Actas_Médicas_2025.pdf,case_0326.pdf,anonymized_pdfs/case_0326.pdf,326,case_0326,15,cover_swap_first_page,48,14,cover_swapped,,
02415_Actas_Médicas_2025.pdf,case_0327.pdf,anonymized_pdfs/case_0327.pdf,327,case_0327,6,cover_swap_first_page,23,5,cover_swapped,,
02417_Actas_Médicas_2025.pdf,case_0328.pdf,anonymized_pdfs/case_0328.pdf,328,case_0328,7,cover_swap_first_page,28,6,cover_swapped,,
02420_Actas_Médicas_2025.pdf,case_0329.pdf,anonymized_pdfs/case_0329.pdf,329,case_0329,6,cover_swap_first_page,27,5,cover_swapped,,
02431_Revista_de_Veterinaria_y_Zoote_2026.pdf,case_0330.pdf,anonymized_pdfs/case_0330.pdf,330,case_0330,13,cover_swap_first_page,37,12,cover_swapped,,
02437_Revista_de_Veterinaria_y_Zoote_2025.pdf,case_0331.pdf,anonymized_pdfs/case_0331.pdf,331,case_0331,12,cover_swap_first_page,31,11,cover_swapped,,
02438_Revista_de_Veterinaria_y_Zoote_2025.pdf,case_0332.pdf,anonymized_pdfs/case_0332.pdf,332,case_0332,5,cover_swap_first_page,15,4,cover_swapped,,
02445_Enfermería_Cuidados_Humanizado_2025.pdf,case_0333.pdf,anonymized_pdfs/case_0333.pdf,333,case_0333,20,cover_swap_first_page,65,57,cover_swapped,,
02454_Acta_Scientiarum_Education_2026.pdf,case_0334.pdf,anonymized_pdfs/case_0334.pdf,334,case_0334,19,cover_swap_first_page,65,18,cover_swapped,,
02455_Acta_Scientiarum_Education_2026.pdf,case_0335.pdf,anonymized_pdfs/case_0335.pdf,335,case_0335,17,cover_swap_first_page,48,16,cover_swapped,,
02503_Vitruvian_Cogitationes_2025.pdf,case_0336.pdf,anonymized_pdfs/case_0336.pdf,336,case_0336,14,cover_swap_first_page,32,13,cover_swapped,,
02527_Ducere_2025.pdf,case_0337.pdf,anonymized_pdfs/case_0337.pdf,337,case_0337,18,cover_swap_first_page,32,17,cover_swapped,,
02533_Góndola_Enseñanza_y_Aprendizaj_2025.pdf,case_0338.pdf,anonymized_pdfs/case_0338.pdf,338,case_0338,16,cover_swap_first_page,52,30,cover_swapped,,
02538_Góndola_Enseñanza_y_Aprendizaj_2024.pdf,case_0339.pdf,anonymized_pdfs/case_0339.pdf,339,case_0339,20,cover_swap_first_page,58,57,cover_swapped,,
02543_Profile_Issues_in_Teachers_Pro_2026.pdf,case_0340.pdf,anonymized_pdfs/case_0340.pdf,340,case_0340,20,cover_swap_first_page,72,19,cover_swapped,,
02544_Profile_Issues_in_Teachers_Pro_2026.pdf,case_0341.pdf,anonymized_pdfs/case_0341.pdf,341,case_0341,18,cover_swap_first_page,63,17,cover_swapped,,
02548_Profile_Issues_in_Teachers_Pro_2024.pdf,case_0342.pdf,anonymized_pdfs/case_0342.pdf,342,case_0342,18,cover_swap_first_page,50,17,cover_swapped,,
02554_Alternancia_2024.pdf,case_0343.pdf,anonymized_pdfs/case_0343.pdf,343,case_0343,14,cover_swap_first_page,19,33,cover_swapped,,
02556_Alternancia_2024.pdf,case_0344.pdf,anonymized_pdfs/case_0344.pdf,344,case_0344,9,cover_swap_first_page,17,24,cover_swapped,,
02558_Alternancia_2024.pdf,case_0345.pdf,anonymized_pdfs/case_0345.pdf,345,case_0345,13,cover_swap_first_page,19,36,cover_swapped,,
